grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, id_dfs, pancake16, "3 6 4 5 0 10 9 8 7 2 1 11 12 13 14 15", 7, 946659411, 24.3906, 3.88125e+07
X, id_dfs, pancake16, "4 7 5 10 0 6 12 15 1 2 3 13 11 14 8 9", na, na, na, na
X, id_dfs, pancake16, "10 15 6 3 1 2 0 7 8 4 9 12 13 14 11 5", na, na, na, na
X, id_dfs, pancake16, "11 10 2 1 0 12 13 14 6 5 4 3 15 9 7 8", 8, 3074824620, 78.9849, 3.89293e+07
X, id_dfs, pancake16, "13 14 12 11 10 9 0 1 2 8 7 6 5 4 3 15", 4, 84133, 0.008295, 1.01426e+07
X, id_dfs, pancake16, "15 14 3 4 5 1 2 13 12 7 6 0 8 9 10 11", na, na, na, na
X, id_dfs, pancake16, "9 8 7 6 4 3 13 12 11 0 1 2 10 5 14 15", 6, 93227977, 2.45504, 3.79741e+07
X, id_dfs, pancake16, "9 10 11 12 8 7 6 5 4 3 2 1 0 13 14 15", 2, 817, 4.4e-05, 1.85682e+07
X, id_dfs, pancake16, "8 9 12 11 10 5 13 7 6 4 3 2 1 0 14 15", 7, 481667186, 12.3918, 3.88697e+07
X, id_dfs, pancake16, "12 4 3 7 5 8 9 10 11 2 6 1 0 13 14 15", na, na, na, na
